GEOLAT,GEOLON,station
8.99,7.39,A01
36.85,2.93,A02
3.87,11.52,A03
14.28,39.46,A04
-19.2,17.58,A05
5.33,355.87,A06
9.58,346.34,A07
7,125.4,A08
14.08,100.61,A12
7.89,98.35,A13
43.25,76.92,AAA
9.03,38.77,AAE
18.62,72.87,ABG
68.35,18.82,ABK
-34.67,138.65,ADL
-65.25,295.74,AIA
82.5,297.5,ALE
28.17,129.33,AMA
69.5,61.4,AMD
65.6,322.37,AMK
-37.8,77.57,AMS
61.2,210.1,AMU
-11.77,282.85,ANC
69.3,16.03,AND
-23.39,289.76,ANT
-13.8,188.22,API
39.17,283.12,APL
42.38,13.32,AQU
68.13,214.43,ARC
56.43,58.57,ARS
43.46,142.17,ASB
-7.95,345.62,ASC
-23.77,133.88,ASP
23.5,32.51,ASW
67.93,306.43,ATU
-66.03,294,B02
-67.57,291.88,B03
-68.58,41.08,B04
-69.29,41.32,B05
-69.67,39.4,B06
-70.7,44.28,B07
-72.77,159.03,B08
-74.01,42.99,B09
-77.32,39.71,B10
-77.51,336.58,B11
-79.08,335.88,B12
-80,77,B13
-80.89,337.74,B14
-81.49,2.97,B15
-82.78,347.06,B16
-82.9,347.76,B17
-84.35,336.14,B18
-85.36,2.06,B19
-85.36,95.98,B20
-87,28.41,B21
-86.51,68.17,B22
-88.03,316.13,B23
-71.67,77.77,B24
-81,3,B27
78.07,14.23,BBG
9.3,105.71,BCL
49.07,14.02,BDV
51.83,20.8,BEL
66.9,208.32,BET
55.62,11.67,BFE
48.33,8.33,BFO
31.72,35.09,BGY
-1.08,136.05,BIK
74.5,19.2,BJN
-3.86,102.31,BKL
64.33,263.97,BLC
40.3,116.2,BMT
4.33,18.57,BNG
58.03,38.33,BOR
40.13,254.77,BOU
58.03,38.97,BOX
49.87,260.03,BRD
47.8,132.41,BRN
71.3,203.25,BRW
56.21,24.75,BRZ
30.35,270.37,BSL
-25.54,139.21,BSV
42.42,276.1,C01
57.71,265.79,C02
58.77,248.89,C03
50.06,251.74,C04
52.03,264.54,C05
53.35,247.03,C06
65.26,233.31,C07
45.87,264.92,C08
47.66,245.79,C10
48.03,263.64,C11
49.69,256.2,C12
51.88,239.97,C13
-35.3,149.36,CAN
69.1,255,CBB
27.15,142.3,CBI
77.72,104.28,CCS
64.2,283.4,CDC
8.4,124.63,CDO
31,256.3,CDP
10.36,123.91,CEB
-33.45,289.4,CER
64.1,276.8,CHC
70.62,147.89,CHD
68.5,73.6,CKA
-12.19,96.84,CKI
-15.48,145.25,CKT
48.02,2.27,CLF
44.7,285,CLK
-34.06,150.67,CMD
64.87,212.14,CMO
-34.1,150.7,CNB
44.08,124.86,CNH
65.75,248.75,CNL
68.88,180.55,CPS
57.09,357.36,CRK
10.44,275.09,CRP
46.05,11.65,CST
-66.28,110.53,CSY
-20.1,146.3,CTA
-30.28,149.58,CUL
70.5,291.4,CY0
36.37,126.85,CYG
-46.43,51.87,CZT
-27.18,151.2,DAL
64.05,220.89,DAW
70.36,211.21,DED
-6.46,39.12,DES
73.55,80.57,DIK
29.49,259.08,DLR
11.94,108.48,DLT
-75.25,235.83,DMC
76.77,341.37,DMH
74.3,339.78,DNB
62.07,9.11,DOB
